wine_id,title,fruit,tannin,cherry,ripe,spice,fresh,berry,plum,apple,soft,blackberry,sweet,light,crisp,citrus,vanilla,herb,raspberry,pepper,juicy,lemon,fruity,firm,chocolate,currant
0,Nicosia 2013 Vulkà Bianco  (Etna),1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
1,Quinta dos Avidagos 2011 Avidagos Red (Douro),1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0
2,Rainstorm 2013 Pinot Gris (Willamette Valley),0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3,St. Julian 2013 Reserve Late Harvest Riesling (Lake Michigan Shore),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4,Sweet Cheeks 2012 Vintner's Reserve Wild Child Block Pinot Noir (Willamette Valley),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Tandem 2011 Ars In Vitro Tempranillo-Merlot (Navarra),1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
6,Terre di Giurfo 2013 Belsito Frappato (Vittoria),0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
7,Trimbach 2012 Gewurztraminer (Alsace),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
8,Heinz Eifel 2013 Shine Gewürztraminer (Rheinhessen),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
9,Jean-Baptiste Adam 2012 Les Natures Pinot Gris (Alsace),1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
10,Kirkland Signature 2011 Mountain Cuvée Cabernet Sauvignon (Napa Valley),0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
11,Leon Beyer 2012 Gewurztraminer (Alsace),0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0
12,Louis M. Martini 2012 Cabernet Sauvignon (Alexander Valley),0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
13,Masseria Setteporte 2012 Rosso  (Etna),0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
14,Mirassou 2012 Chardonnay (Central Coast),0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Richard Böcking 2013 Devon Riesling (Mosel),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Felix Lavaque 2010 Felix Malbec (Cafayate),0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Gaucho Andino 2011 Winemaker Selection Malbec (Mendoza),1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
18,Pradorey 2010 Vendimia Seleccionada Finca Valdelayegua Single Vineyard Crianza  (Ribera del Duero),1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Quiévremont 2012 Meritage (Virginia),1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
20,Quiévremont 2012 Vin de Maison Red (Virginia),0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
21,Acrobat 2013 Pinot Noir (Oregon),0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
22,Baglio di Pianetto 2007 Ficiligno White (Sicilia),1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
23,Bianchi 2011 Signature Selection Merlot (Paso Robles),0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,Canicattì 2009 Aynat Nero d'Avola (Sicilia),0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
25,Castello di Amorosa 2011 King Ridge Vineyard Pinot Noir (Sonoma Coast),0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
26,Stemmari 2013 Dalila White (Terre Siciliane),1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
27,Stemmari 2013 Nero d'Avola (Terre Siciliane),0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
28,Terre di Giurfo 2011 Mascaria Barricato  (Cerasuolo di Vittoria),0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
29,Clarksburg Wine Company 2010 Chenin Blanc (Clarksburg),1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
30,Domaine de la Madone 2012 Nouveau  (Beaujolais-Villages),1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
31,Duca di Salaparuta 2010 Calanìca Nero d'Avola-Merlot Red (Sicilia),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Duca di Salaparuta 2011 Calanìca Grillo-Viognier White (Sicilia),1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,Envolve 2010 Puma Springs Vineyard Red (Dry Creek Valley),0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
34,Envolve 2011 Sauvignon Blanc (Sonoma Valley),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,Erath 2010 Hyland Pinot Noir (McMinnville),1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
36,Estampa 2011 Estate Viognier-Chardonnay (Colchagua Valley),0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
37,Feudi del Pisciotto 2010 Missoni Cabernet Sauvignon (Sicilia),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,Feudi di San Marzano 2011 I Tratturi Primitivo (Puglia),1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,Feudo di Santa Tresa 2011 Purato Made With Organic Grapes Nero d'Avola (Sicilia),1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
40,Feudo Montoni 2011 Catarratto (Sicilia),0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
41,Hawkins Cellars 2009 Pinot Noir (Willamette Valley),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
42,Henry Fessy 2012 Nouveau  (Beaujolais),1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,Robert Hall 2011 Sauvignon Blanc (Paso Robles),1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
44,Sundance 2011 Merlot (Maule Valley),0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
45,Tarara 2010 #SocialSecret Red (Virginia),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
46,Tasca d'Almerita 2011 Sallier de la Tour Inzolia (Sicilia),0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
47,The White Knight 2011 Riesling (Lake County),0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
48,Trump 2011 Sauvignon Blanc (Monticello),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,Vignerons de Bel Air 2011 Eté Indien  (Brouilly),1,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
50,Viticultori Associati Canicatti 2008 Scialo Red (Sicilia),0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,Casa Silva 2008 Gran Reserva Petit Verdot (Colchagua Valley),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,Cantine di Dolianova 2010 Dolia  (Monica di Sardegna),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
53,Château de Sours 2011 La Fleur d'Amélie  (Bordeaux Blanc),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
54,Corvo 2010 Rosso Red (Sicilia),0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,RustRidge 2010 Estate Bottled Chardonnay (Napa Valley),0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,Souverain 2010 Chardonnay (North Coast),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
57,Tasca d'Almerita 2011 Sallier de la Tour Grillo (Sicilia),1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
58,Tres Palacios 2011 Reserve Pinot Noir (Maipo Valley),1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
59,Mellisoni 2014 Malbec (Columbia Valley (WA)),0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
60,Okapi 2013 Estate Cabernet Sauvignon (Napa Valley),0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
61,Podere dal Nespoli 2015 Prugneto Sangiovese (Romagna),0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
62,Ram 2014 Alder Ridge Vineyard Cabernet Franc (Columbia Valley (WA)),0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,Roland Champion NV Brut Rosé  (Champagne),1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
64,Sevtap 2015 Golden Horn Sauvignon Blanc (Santa Ynez Valley),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,Simonnet-Febvre 2015  Chablis,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
66,Vignerons des Terres Secrètes 2015  Mâcon-Milly Lamartine,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,Basel Cellars 2013 Inspired Red (Columbia Valley (WA)),0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
68,Cocobon 2014 Red (California),1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,Collet NV Brut Rosé  (Champagne),0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,Drumheller 2014 Chardonnay (Columbia Valley (WA)),1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
71,Eco Terreno 2013 Old Vine Cabernet Sauvignon (Alexander Valley),0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
72,Grifalco 2013 Daginestra  (Aglianico del Vulture),1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,Hindsight 2013 Bella Vetta Vineyard Cabernet Sauvignon (Howell Mountain),0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
74,Hindsight 2012 Estate Grown Petite Sirah (Calistoga),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
75,Mulvane Wine Co. 2013 The Cypher Red (Napa Valley),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
76,Schmitt Söhne 2015 Riesling (Rheinhessen),1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
77,Yalumba 2016 Made With Organic Grapes Chardonnay (South Australia),0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,Z'IVO 2015 Rosé of Pinot Noir (Eola-Amity Hills),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
79,Adega Cooperativa do Cartaxo 2014 Bridão Touriga Nacional (Tejo),1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
80,Aresti 2014 Special Release Reserva Carmenère (Rapel Valley),0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
81,Spyro 2014 Albariño (Rías Baixas),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,Lionel Osmin & Cie 2016 La Réserve Petit Manseng (Vin de France),1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
83,Mitolo 2016 Jester Sangiovese Rosé (McLaren Vale),1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
84,Napa Cellars 2014 Classic Zinfandel (Napa Valley),1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,P.J. Valckenberg 2015 Undone Dry Riesling (Rheinhessen),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
86,Palencia 2016 Albariño (Ancient Lakes),1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,Passaggio 2014 Blau Vineyards Merlot (Knights Valley),0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
88,Poggio Alloro 2014 Le Mandorle Riserva  (Vernaccia di San Gimignano),1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
89,Fattoria Sardi 2015 Rosato (Toscana),0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,Ferrari-Carano 2014 Siena Red (Sonoma County),1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,Folie à Deux 2015 Pinot Gris (Sonoma Coast),0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
92,Franciscan 2013 Magnificat Meritage (Napa Valley),0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,Fuchs 2015 Grüner Veltliner (Burgenland),0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
94,Gård 2014 Grand Klasse Reserve Lawrence Vineyards Viognier (Columbia Valley (WA)),1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,Henry Fessy 2015  Juliénas,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,Henry Fessy 2015  Régnié,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0
97,Heron Hill 2015 Ingle Vineyard Riesling (Finger Lakes),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,Serpaia di Endrizzi 2010 Dono Riserva  (Morellino di Scansano),1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
99,Soquel Vineyards 2013 Intreccio Library Selection Red (Napa Valley),0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
100,Ventosa 2015 Pinot Gris (Finger Lakes),0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,Lamoreaux Landing 2014 Red Oak Vineyard Riesling (Finger Lakes),0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
102,Lamoreaux Landing 2014 Yellow Dog Vineyard Riesling (Finger Lakes),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
103,Leyda 2015 Single Vineyard Falaris Hill Chardonnay (Leyda Valley),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,Madonna Alta 2014 Nativo Red (Toscana),1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,Marchesi Antinori 2015 Villa Antinori White (Toscana),1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
106,Marchesi de' Frescobaldi 2014 Castiglioni Red (Toscana),1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
107,Marchesi de' Frescobaldi 2015 Ammiraglia Massovivo Vermentino (Toscana),1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,Martin Ranch 2014 J.D. Hurley Zinfandel (Santa Clara Valley),1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
109,Ornellaia 2014 Le Volte Red (Toscana),0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
110,Pardon et Fils 2015 Les Quartelets  (Brouilly),1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,Piña 2013 Wolff Vineyard Cabernet Sauvignon (Yountville),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,Podere Ciona 2014 Semifonte Red (Toscana),0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
113,Poggioventoso 2015 Poetico White (Toscana),1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
114,Pull 2012 BDX Red (Paso Robles),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,Pull 2013 Chardonnay (Paso Robles),0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
116,R2 2013 Camp 4 Vineyard Grenache Blanc (Santa Ynez Valley),0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,Rideau 2014 Estate Syrah,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
118,Tenuta Forconi 2013 Toscano Red (Toscana),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
119,Dopff & Irion 2004 Schoenenbourg Grand Cru Vendanges Tardives Riesling (Alsace),1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
120,Ceretto 2003 Bricco Rocche Prapó  (Barolo),1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,Matrix 2007 Stuhlmuller Vineyard Chardonnay (Alexander Valley),0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
122,Mauritson 2007 Rockpile Cemetary Vineyard Zinfandel (Rockpile),1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,Henry's Drive Vignerons 2006 Parson's Flat Shiraz-Cabernet Sauvignon (Padthaway),0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,Silverado 2006 Cabernet Sauvignon (Napa Valley),0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
125,Le Riche 2003 Cabernet Sauvignon Reserve Cabernet Sauvignon (Stellenbosch),1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,Pierre Sparr 2007 Vendages Tardives Gewurztraminer (Alsace),1,0,0,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
127,Pierre Sparr 2008 Alsace One White (Alsace),1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0
128,Kuentz-Bas 2008 Pinot Blanc (Alsace),1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
129,Camberley 2004 Philosophers' Stone Red (Stellenbosch),0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
