title,points,price,country,province,variety
Beaumont 2005 Hope Marguerite Chenin Blanc (Walker Bay),90,,South Africa,Walker Bay,Chenin Blanc
Dopff & Irion 2008 Crustacés White (Alsace),90,10.0,France,Alsace,Alsace white blend
Kuentz-Bas 2007 Cuvée Jerémy Sélection de Grains Nobles Pinot Gris (Alsace),90,112.0,France,Alsace,Pinot Gris
Poderi Colla 2005 Costa Bruna  (Barbera d'Alba),90,26.0,Italy,Piedmont,Barbera
Giacomo Ascheri 2003 Vigna dei Pola  (Barolo),90,45.0,Italy,Piedmont,Nebbiolo
Banyan 2007 Riesling (Santa Lucia Highlands),90,17.0,US,California,Riesling
Domaine Zind-Humbrecht 2007 Hunawihr Clos Windsbuhl Pinot Gris (Alsace),90,84.0,France,Alsace,Pinot Gris
Spier 2014 21 Gables Chenin Blanc (Western Cape),90,23.0,South Africa,Western Cape,Chenin Blanc
Sequum 2013 Four Soil Mélange Cabernet Sauvignon (Napa Valley),90,60.0,US,California,Cabernet Sauvignon
Sierra Starr 2014 Rising Starr Estate Bottled Cabernet Franc (Nevada County),90,28.0,US,California,Cabernet Franc
