title,points,price,country,province,variety
Rothbury Estate 2001 Chardonnay (South Eastern Australia),90,8.0,Australia,Australia Other,Chardonnay
Esser Cellars 2001 Chardonnay (California),90,8.0,US,California,Chardonnay
Aveleda 2013 Quinta da Aveleda Estate Bottled Loureiro-Alvarinho White (Minho),90,8.0,Portugal,Minho,Portuguese White
Aveleda 2015 Quinta da Aveleda White (Vinho Verde),90,9.0,Portugal,Vinho Verde,Portuguese White
Herdade dos Machados 2012 Morgado da Canita Red (Alentejano),90,9.0,Portugal,Alentejano,Portuguese Red
Mano A Mano 2011 Tempranillo (Vino de la Tierra de Castilla),90,9.0,Spain,Central Spain,Tempranillo
Dão Sul 2007 Cabriz Colheita Seleccionada White (Dão),90,9.0,Portugal,Dão,Portuguese White
DFJ Vinhos 2011 Vega Red (Douro),90,9.0,Portugal,Douro,Portuguese Red
J. Portugal Ramos 2013 Loureiro (Vinho Verde),90,9.0,Portugal,Vinho Verde,Loureiro
DFJ Vinhos 2011 Vega Red (Douro),90,9.0,Portugal,Douro,Portuguese Red
